Module name	Description
exchange_rates.lua	A module created to recognize pairs of numbers and currencies in text, with automatic subsequent conversion to other currencies using up-to-date exchange rates.
bulling.lua	Generates a kind response to your interlocutor.
emoji_shortcodes_everywhere.lua	A module that replaces emoji shortcodes.
filter.lua	Automatically censors all obscene words.
onlysqapi.lua	Use of AI via OnlySq API (https://onlysq.ru)
pastebin.lua	A module for instant uploading of text to pastebin.com.
person.lua	Generates a random user.
logger.lua	A module that logs all text typed on the keyboard, saves the file to logs/log.txt relative to the module's location, also logs the application package name and the current date.
fonts.lua	Text fonts.
rollback.lua	Detailed description required.
huify.lua	No description.
ghoul.lua	Counts down from 1000 to 7.
wttrin.lua	wttr.in wrapper.
calc.lua	Evaluates expressions
rainbow.lua	Rainbow module example
